source,campaign,influencer_id,user_id,product,date,orders,revenue
Instagram,Campaign_9,15,user_1368,Omega-3,17-06-2025,3,371.81
Instagram,Campaign_4,57,user_241,Omega-3,01-04-2025,3,271.45
YouTube,Campaign_9,54,user_4724,Protein Powder,14-03-2025,4,265.18
Twitter,Campaign_2,37,user_4093,Multivitamin,16-04-2025,2,142.46
Instagram,Campaign_4,76,user_4702,Protein Powder,22-05-2025,5,21.23
Instagram,Campaign_1,35,user_2004,Protein Powder,21-03-2025,3,203.83
YouTube,Campaign_5,95,user_1467,Protein Powder,28-02-2025,4,127.77
Twitter,Campaign_8,67,user_3410,Omega-3,11-05-2025,1,294.34
Instagram,Campaign_4,59,user_4113,Protein Powder,04-06-2025,2,406.08
YouTube,Campaign_2,27,user_3285,Protein Powder,22-03-2025,3,391.29
YouTube,Campaign_10,75,user_2682,Protein Powder,28-02-2025,4,23.83
Twitter,Campaign_7,18,user_2389,Omega-3,10-02-2025,2,242.68
Instagram,Campaign_19,100,user_4042,Multivitamin,02-03-2025,2,92.27
Instagram,Campaign_14,88,user_196,Multivitamin,03-03-2025,3,325.25
Twitter,Campaign_1,41,user_2745,Protein Powder,01-02-2025,4,427.52
YouTube,Campaign_10,93,user_852,Multivitamin,06-03-2025,2,221.51
Twitter,Campaign_2,11,user_1167,Omega-3,26-06-2025,1,462.21
Twitter,Campaign_17,2,user_3384,Omega-3,24-03-2025,1,298.77
Instagram,Campaign_17,40,user_1094,Kids Shake,30-06-2025,5,292.55
YouTube,Campaign_14,44,user_1071,Multivitamin,06-05-2025,3,428.44
YouTube,Campaign_13,39,user_2673,Omega-3,26-03-2025,3,132.13
Twitter,Campaign_7,6,user_1116,Protein Powder,10-06-2025,1,98.9
Instagram,Campaign_15,100,user_2573,Kids Shake,19-06-2025,5,191.98
Twitter,Campaign_7,79,user_3703,Omega-3,23-03-2025,3,429.19
YouTube,Campaign_3,27,user_1292,Omega-3,22-01-2025,5,39.36
YouTube,Campaign_11,71,user_1216,Protein Powder,17-05-2025,3,210.2
Instagram,Campaign_2,28,user_2449,Omega-3,05-06-2025,1,477.01
Instagram,Campaign_15,34,user_4555,Multivitamin,25-06-2025,4,68.92
Twitter,Campaign_5,64,user_995,Protein Powder,04-07-2025,2,82.74
Twitter,Campaign_13,22,user_3050,Protein Powder,20-02-2025,5,144.23
YouTube,Campaign_3,20,user_179,Protein Powder,30-05-2025,4,408.46
YouTube,Campaign_3,78,user_2717,Protein Powder,09-07-2025,4,44.31
YouTube,Campaign_19,12,user_3549,Kids Shake,14-03-2025,1,203.71
Instagram,Campaign_14,50,user_1416,Omega-3,26-05-2025,2,151.99
Instagram,Campaign_15,91,user_1218,Protein Powder,12-02-2025,5,316.15
Instagram,Campaign_10,13,user_4087,Kids Shake,01-03-2025,4,49.27
Instagram,Campaign_9,99,user_3138,Multivitamin,03-04-2025,2,328.47
YouTube,Campaign_17,4,user_2042,Protein Powder,13-04-2025,3,250.25
Twitter,Campaign_16,1,user_2819,Omega-3,11-04-2025,3,106.31
YouTube,Campaign_11,27,user_4892,Multivitamin,12-07-2025,3,48.12
YouTube,Campaign_16,61,user_4338,Omega-3,20-02-2025,2,487.51
Instagram,Campaign_4,66,user_2031,Multivitamin,12-05-2025,5,411.82
YouTube,Campaign_2,72,user_1798,Kids Shake,20-04-2025,2,104.53
YouTube,Campaign_19,46,user_2606,Omega-3,18-02-2025,1,357.66
Twitter,Campaign_12,38,user_4651,Multivitamin,25-02-2025,2,421.61
YouTube,Campaign_16,61,user_4442,Omega-3,05-06-2025,4,38.22
Twitter,Campaign_2,41,user_1906,Multivitamin,14-07-2025,5,249.43
Twitter,Campaign_11,1,user_1651,Multivitamin,23-04-2025,2,461.01
YouTube,Campaign_11,95,user_488,Protein Powder,12-06-2025,5,358.25
Twitter,Campaign_5,63,user_909,Omega-3,01-07-2025,3,358.18
YouTube,Campaign_13,24,user_4801,Protein Powder,24-04-2025,3,174.85
Twitter,Campaign_6,90,user_3579,Kids Shake,03-02-2025,3,103.62
YouTube,Campaign_18,81,user_2924,Multivitamin,30-01-2025,5,410.94
Twitter,Campaign_13,18,user_2514,Omega-3,17-06-2025,2,369.84
YouTube,Campaign_19,39,user_3208,Protein Powder,03-06-2025,5,172.74
YouTube,Campaign_20,74,user_1810,Protein Powder,14-03-2025,2,178.96
Instagram,Campaign_3,82,user_1950,Omega-3,29-04-2025,2,325.37
Twitter,Campaign_3,63,user_2751,Kids Shake,17-07-2025,3,120.65
YouTube,Campaign_3,93,user_2872,Omega-3,22-06-2025,1,43.11
Twitter,Campaign_15,89,user_3438,Multivitamin,05-04-2025,4,443.25
Instagram,Campaign_12,86,user_4474,Kids Shake,24-06-2025,4,398.59
Instagram,Campaign_19,57,user_1848,Multivitamin,26-03-2025,1,403.61
YouTube,Campaign_2,83,user_2416,Protein Powder,29-04-2025,3,476.8
YouTube,Campaign_3,69,user_2801,Multivitamin,14-04-2025,2,371.35
Twitter,Campaign_18,7,user_763,Omega-3,17-02-2025,5,448.75
YouTube,Campaign_1,61,user_3534,Multivitamin,14-02-2025,4,95.41
Instagram,Campaign_4,87,user_2713,Multivitamin,01-06-2025,4,354.65
YouTube,Campaign_18,74,user_2174,Omega-3,04-05-2025,2,66.04
Twitter,Campaign_13,14,user_4684,Kids Shake,10-06-2025,1,193.2
YouTube,Campaign_14,4,user_718,Omega-3,31-01-2025,5,250.56
Twitter,Campaign_4,45,user_211,Multivitamin,06-06-2025,3,488.99
Instagram,Campaign_16,15,user_947,Omega-3,09-04-2025,4,254.77
Twitter,Campaign_9,70,user_747,Kids Shake,02-06-2025,3,445.04
Twitter,Campaign_12,79,user_1529,Kids Shake,08-07-2025,3,231.08
Instagram,Campaign_9,49,user_1854,Omega-3,25-02-2025,1,92.54
Twitter,Campaign_4,33,user_703,Omega-3,03-03-2025,4,485.94
YouTube,Campaign_19,55,user_1864,Protein Powder,11-04-2025,5,220.94
Twitter,Campaign_18,48,user_3890,Multivitamin,20-03-2025,3,57.9
Twitter,Campaign_2,63,user_4114,Multivitamin,19-06-2025,4,102.98
Twitter,Campaign_6,8,user_1736,Multivitamin,17-06-2025,1,223.22
Twitter,Campaign_14,3,user_1655,Multivitamin,17-02-2025,3,173.48
YouTube,Campaign_3,44,user_713,Kids Shake,27-02-2025,4,284.99
Instagram,Campaign_9,16,user_4258,Kids Shake,16-07-2025,5,302.04
Instagram,Campaign_14,96,user_922,Kids Shake,11-06-2025,2,291.97
Instagram,Campaign_19,99,user_821,Protein Powder,25-02-2025,1,397.16
Twitter,Campaign_18,14,user_2817,Kids Shake,13-05-2025,4,334.3
Twitter,Campaign_19,37,user_4989,Kids Shake,10-07-2025,2,152.2
YouTube,Campaign_5,46,user_4987,Kids Shake,10-07-2025,4,447
Twitter,Campaign_11,48,user_1947,Protein Powder,20-03-2025,3,450.58
Twitter,Campaign_1,85,user_2768,Omega-3,01-05-2025,3,424.57
Instagram,Campaign_4,66,user_1868,Multivitamin,04-05-2025,4,391.53
Twitter,Campaign_11,14,user_2208,Kids Shake,15-02-2025,1,110.21
Instagram,Campaign_7,60,user_3336,Kids Shake,09-03-2025,3,414.09
YouTube,Campaign_17,95,user_1303,Protein Powder,01-05-2025,5,213.62
Twitter,Campaign_17,14,user_4659,Protein Powder,05-06-2025,2,440.09
YouTube,Campaign_7,97,user_473,Multivitamin,11-07-2025,4,44.27
Twitter,Campaign_12,14,user_1632,Omega-3,16-04-2025,4,262.46
Twitter,Campaign_4,68,user_251,Multivitamin,15-04-2025,4,305.14
Twitter,Campaign_6,3,user_3888,Omega-3,22-04-2025,2,422.07
Twitter,Campaign_9,8,user_741,Omega-3,12-07-2025,4,43.83
YouTube,Campaign_19,43,user_1756,Multivitamin,04-02-2025,2,345.29
YouTube,Campaign_9,20,user_3355,Protein Powder,26-01-2025,1,247.57
Twitter,Campaign_5,33,user_1419,Protein Powder,23-05-2025,3,312.01
YouTube,Campaign_10,95,user_2256,Kids Shake,14-04-2025,3,240.32
Instagram,Campaign_7,58,user_3824,Omega-3,27-01-2025,5,415.67
Twitter,Campaign_13,38,user_4789,Protein Powder,18-07-2025,5,499.73
YouTube,Campaign_12,4,user_4600,Omega-3,04-05-2025,1,251.23
Instagram,Campaign_11,59,user_2265,Omega-3,10-05-2025,3,334.94
YouTube,Campaign_10,39,user_1544,Multivitamin,09-03-2025,2,451.85
Instagram,Campaign_20,58,user_3311,Omega-3,26-01-2025,2,366.22
YouTube,Campaign_16,20,user_2422,Omega-3,03-04-2025,4,206.37
Instagram,Campaign_2,92,user_4777,Multivitamin,23-04-2025,2,349.43
Twitter,Campaign_16,22,user_2937,Omega-3,06-06-2025,5,106.95
YouTube,Campaign_4,46,user_3857,Multivitamin,14-05-2025,5,386.2
Instagram,Campaign_6,42,user_2750,Protein Powder,24-05-2025,3,127.2
Instagram,Campaign_10,57,user_3445,Omega-3,15-04-2025,3,301.07
Instagram,Campaign_15,96,user_965,Kids Shake,06-07-2025,5,298.55
Instagram,Campaign_20,35,user_584,Kids Shake,31-05-2025,5,77.51
Twitter,Campaign_13,22,user_4341,Omega-3,05-04-2025,1,438.01
Instagram,Campaign_5,49,user_1126,Multivitamin,23-04-2025,4,493.85
Instagram,Campaign_15,87,user_1174,Omega-3,03-06-2025,1,254.04
Instagram,Campaign_6,35,user_2568,Protein Powder,18-07-2025,4,151.29
Twitter,Campaign_6,45,user_4721,Multivitamin,16-03-2025,1,82.11
YouTube,Campaign_14,73,user_3518,Kids Shake,01-04-2025,4,203.99
Twitter,Campaign_2,32,user_4373,Multivitamin,15-04-2025,1,448.16
Twitter,Campaign_17,45,user_1562,Protein Powder,27-01-2025,1,320.81
Twitter,Campaign_8,23,user_1854,Omega-3,01-05-2025,2,69.3
Twitter,Campaign_17,67,user_4823,Omega-3,07-06-2025,1,415.45
YouTube,Campaign_10,74,user_2383,Kids Shake,08-03-2025,5,271.58
Instagram,Campaign_14,59,user_1097,Omega-3,16-03-2025,3,380.06
Instagram,Campaign_6,59,user_3305,Protein Powder,22-05-2025,2,369.04
YouTube,Campaign_5,71,user_1731,Protein Powder,19-02-2025,5,101.11
Instagram,Campaign_12,76,user_307,Kids Shake,06-02-2025,3,390.2
YouTube,Campaign_20,97,user_399,Protein Powder,31-01-2025,1,333.71
Twitter,Campaign_1,68,user_396,Protein Powder,04-04-2025,4,202.52
Instagram,Campaign_18,35,user_2071,Kids Shake,21-01-2025,2,118.64
Twitter,Campaign_1,18,user_2467,Kids Shake,31-01-2025,1,337.99
YouTube,Campaign_9,21,user_4962,Multivitamin,03-04-2025,1,265.56
YouTube,Campaign_20,4,user_965,Omega-3,20-06-2025,1,258.91
YouTube,Campaign_20,39,user_1637,Omega-3,08-03-2025,2,191.8
Instagram,Campaign_14,96,user_2420,Multivitamin,09-07-2025,5,258.25
YouTube,Campaign_7,27,user_3938,Omega-3,20-05-2025,1,26.12
Twitter,Campaign_3,67,user_905,Kids Shake,11-06-2025,1,394.17
YouTube,Campaign_3,44,user_830,Omega-3,05-02-2025,2,239.24
Instagram,Campaign_10,16,user_2164,Kids Shake,07-07-2025,1,410.33
Twitter,Campaign_2,11,user_2381,Omega-3,27-01-2025,3,224.48
Instagram,Campaign_4,40,user_779,Protein Powder,17-07-2025,2,338.41
Twitter,Campaign_6,33,user_2693,Omega-3,29-03-2025,5,148.79
YouTube,Campaign_3,95,user_3053,Omega-3,03-06-2025,1,212.37
Instagram,Campaign_15,60,user_2227,Kids Shake,24-01-2025,4,403.95
YouTube,Campaign_6,72,user_927,Multivitamin,22-01-2025,1,491.15
Twitter,Campaign_6,90,user_850,Kids Shake,18-02-2025,4,405.09
Instagram,Campaign_15,62,user_1485,Kids Shake,19-04-2025,5,33.83
Twitter,Campaign_5,64,user_3958,Kids Shake,21-06-2025,4,231.53
Instagram,Campaign_3,57,user_2144,Omega-3,16-07-2025,5,388.41
Instagram,Campaign_19,31,user_4629,Multivitamin,29-01-2025,3,269.17
Instagram,Campaign_20,59,user_781,Kids Shake,31-01-2025,2,251.33
